date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:48	37559/37559	---MCZ	200	added ('OK')	text/html	etag:%221b5b9d51a63bfe96aa830ccdb4d078c1-ssl-df%22	https://spark.bootlab.io/dashboard-default.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/dashboard-default.html	(from )
23:14:48	1447/1447	---MCZ	404	error ('Not%20Found')	text/html	etag:1562763502-ssl-df	https://spark.bootlab.io/robots.txt		(from )
23:14:50	13117/13117	---MCZ	200	added ('OK')	text/html	etag:%226f5e566caa975348ac179c12cd17c7c5-ssl-df%22	https://spark.bootlab.io/index.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/index.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:50	11446/11446	---M-Z	200	added ('OK')	application/javascript	etag:%222e2fcd7f46331a2aee72edbeb552c429-ssl-df%22	https://spark.bootlab.io/js/settings.js	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/js/settings.js	(from https://spark.bootlab.io/dashboard-default.html)
23:14:50	42306/42306	---M--	200	added ('OK')	image/jpeg	etag:%22f029aef73d572a2ee339a7cc5471da33-ssl%22	https://spark.bootlab.io/img/avatars/avatar.jpg	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/img/avatars/avatar.jpg	(from https://spark.bootlab.io/dashboard-default.html)
23:14:51	38766/38766	---MCZ	200	added ('OK')	text/html	etag:%2260383f99ae2c16aa2c179bc675adc4c1-ssl-df%22	https://spark.bootlab.io/dashboard-analytics.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/dashboard-analytics.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:51	34008/34008	---MCZ	200	added ('OK')	text/html	etag:%2229a0e3e02b78acab026a76a2a42c92c0-ssl-df%22	https://spark.bootlab.io/dashboard-e-commerce.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/dashboard-e-commerce.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:52	27643/27643	---MCZ	200	added ('OK')	text/html	etag:%22f819906b6a150e2eac1e32774a52dcee-ssl-df%22	https://spark.bootlab.io/pages-settings.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-settings.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:53	23141/23141	---MCZ	200	added ('OK')	text/html	etag:%22decd2fa54b70827bfc1b9b0bc17a58ff-ssl-df%22	https://spark.bootlab.io/pages-invoice.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-invoice.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:53	30414/30414	---MCZ	200	added ('OK')	text/html	etag:%229c42311d0af39c9e2f34d0b8ecc7aca7-ssl-df%22	https://spark.bootlab.io/pages-clients.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-clients.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:54	28458/28458	---MCZ	200	added ('OK')	text/html	etag:%2214bdb4af7d530e5daa261b0312d7281a-ssl-df%22	https://spark.bootlab.io/pages-pricing.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-pricing.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:54	37978/37978	---MCZ	200	added ('OK')	text/html	etag:%22465e2a6b1d703d10f9767d19b774bdca-ssl-df%22	https://spark.bootlab.io/pages-tasks.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-tasks.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:55	32048/32048	---MCZ	200	added ('OK')	text/html	etag:%22e6ea80fa168d1dcbd866ba7e19f1ac91-ssl-df%22	https://spark.bootlab.io/pages-chat.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-chat.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:55	20269/20269	---MCZ	200	added ('OK')	text/html	etag:%228386adbaa33c73ead5b266b15663bac0-ssl-df%22	https://spark.bootlab.io/pages-blank.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-blank.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:56	3811/3811	---MCZ	200	added ('OK')	text/html	etag:%227f31a871496a094446831072b85fbb0d-ssl-df%22	https://spark.bootlab.io/pages-sign-up.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-sign-up.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:56	4062/4062	---MCZ	200	added ('OK')	text/html	etag:%222d6c86bcdee0a2539217f3cbc14efd61-ssl-df%22	https://spark.bootlab.io/pages-sign-in.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-sign-in.html	(from https://spark.bootlab.io/dashboard-default.html)
23:14:56	3191/3191	---MCZ	200	added ('OK')	text/html	etag:%22c55d840f5862f4d59f0c704ff68f5be7-ssl-df%22	https://spark.bootlab.io/pages-reset-password.html	C:/Users/Bochie/Documents/HTTRACK%20Websites/Spark%20template/spark.bootlab.io/pages-reset-password.html	(from https://spark.bootlab.io/dashboard-default.html)
